player_id,player_name,team,position,has_real_fixture_specific_ev,has_distributed_round_context,round_1_ev,round_2_ev,round_3_ev,fixture_strength_round_1,fixture_strength_round_2,fixture_strength_round_3,round_context_quality,suspected_issue,recommended_next_action
harry_kane__eng,Harry Kane,ENG,FWD,True,True,1.344,1.5231,1.1997,0.5715,1.0497,1.1541,distributed_but_plausible,Round EV appears distributed from fixture-specific match output.,No data repair required; use model calibration audit if player still looks wrong.
erling_haaland__nor,Erling Haaland,NOR,FWD,True,True,1.543,1.2006,0.6297,1.1774,0.2123,-0.881,distributed_but_plausible,Round EV appears distributed from fixture-specific match output.,No data repair required; use model calibration audit if player still looks wrong.
manuel_neuer__ger,Manuel Neuer,GER,GK,True,True,1.9059,1.1177,1.005,1.4677,0.7666,0.6518,distributed_but_plausible,Round EV appears distributed from fixture-specific match output.,No data repair required; use model calibration audit if player still looks wrong.
c_sar_montes__mex,Cesar Montes,MEX,DEF,True,True,1.4813,1.1412,0.9219,1.036,0.5813,0.3993,distributed_but_plausible,Round EV appears distributed from fixture-specific match output.,No data repair required; use model calibration audit if player still looks wrong.
silvan_widmer__sui,Silvan Widmer,SUI,DEF,True,True,1.3272,1.1493,0.8534,1.153,0.8096,0.2425,distributed_but_plausible,Round EV appears distributed from fixture-specific match output.,No data repair required; use model calibration audit if player still looks wrong.
jules_kounde__fra,Jules Kounde,FRA,DEF,True,True,0.9653,1.2076,0.676,0.9418,1.3921,0.5459,distributed_but_plausible,Round EV appears distributed from fixture-specific match output.,No data repair required; use model calibration audit if player still looks wrong.
nico_schlotterbeck__ger,Nico Schlotterbeck,GER,DEF,True,True,1.2324,0.7389,0.6426,1.4677,0.7666,0.6518,distributed_but_plausible,Round EV appears distributed from fixture-specific match output.,No data repair required; use model calibration audit if player still looks wrong.
wesley_franca__bra,Wesley Franca,BRA,DEF,True,True,0.769,0.948,0.6928,0.7704,1.4342,1.0096,distributed_but_plausible,Round EV appears distributed from fixture-specific match output.,No data repair required; use model calibration audit if player still looks wrong.
gregor_kobel__sui,Gregor Kobel,SUI,GK,True,True,0.8162,0.6459,0.4898,1.153,0.8096,0.2425,distributed_but_plausible,Round EV appears distributed from fixture-specific match output.,No data repair required; use model calibration audit if player still looks wrong.
raphinha__bra,Raphinha,BRA,FWD,True,False,0.2041,0.1625,0.119,0.7704,1.4342,1.0096,real_fixture_specific_context,Fixture-specific round context exists.,"Treat as model/role question, not missing data."
aleksandar_pavlovic__ger,Aleksandar Pavlovic,GER,MID,True,True,0.7194,0.5463,0.4059,1.4677,0.7666,0.6518,distributed_but_plausible,Round EV appears distributed from fixture-specific match output.,No data repair required; use model calibration audit if player still looks wrong.
deniz_undav__ger,Deniz Undav,GER,FWD,True,True,0.5467,0.4216,0.3165,1.4677,0.7666,0.6518,distributed_but_plausible,Round EV appears distributed from fixture-specific match output.,No data repair required; use model calibration audit if player still looks wrong.
jurri_n_timber__ned,Jurrien Timber,NED,DEF,True,True,0.6471,0.7492,0.7347,0.2507,0.6596,0.833,distributed_but_plausible,Round EV appears distributed from fixture-specific match output.,No data repair required; use model calibration audit if player still looks wrong.
ismaila_sarr__sen,Ismaila Sarr,SEN,MID,True,True,0.1586,0.2718,0.6361,-1.0328,-0.5901,0.9561,distributed_but_plausible,Round EV appears distributed from fixture-specific match output.,No data repair required; use model calibration audit if player still looks wrong.
mahmoud_trezeguet__egy,Mahmoud Trezeguet,EGY,MID,True,False,0.0652,0.1339,0.1413,-0.9463,0.6688,0.1792,real_fixture_specific_context,Fixture-specific round context exists.,"Treat as model/role question, not missing data."
christoph_baumgartner__aut,Christoph Baumgartner,AUT,MID,False,False,0.0,0.0,0.0,1.0306,-0.951,0.1873,missing_ev_source,No usable optimizer_ev or round EV.,Fix EV source/fixture mapping; do not use as calibration evidence.
