player_id,player_name,team,position,price,model_error_flag,primary_flag_category,start_prob,conditional_start_prob,appearance_prob,availability_risk,optimizer_ev,round_1_ev,round_2_ev,round_3_ev,suspected_issue,recommended_next_action
christoph_baumgartner__aut,Christoph Baumgartner,AUT,MID,3500000,yes,missing_ev_source,0.0,0.0,0.0,out,0.0,0.0,0.0,0.0,Reel datamangel: spilleren har ingen brugbar EV-/fixturevaerdi i modeloutputtet.,Ret EV-/fixturekilden foer spilleren bruges i strategi eller replacement-vurdering.
antonio_nusa__nor,Antonio Nusa,NOR,MID,3500000,yes,uncertain_start,0.6924,0.7301,0.8526,low_risk,3.2535,1.65,1.2767,0.646,Reel spillerusikkerhed: startchance er ikke sikker nok til at behandle spilleren som fast starter.,Lav manuel starttjek; aendr ikke modelvaegte alene pga. denne spiller.
scott_mctominay__sco,Scott McTominay,SCO,MID,4500000,yes,likely_overweighted_by_model,0.8818,0.942,0.8176,medium_risk,3.193,1.7115,0.8299,0.633,Mulig modelvaegtning: sikkerhed/value eller central MID/DEF-score kan fylde for meget.,Sammenlign marginal budgetbrug mod premium FWD-upside foer kalibrering.
mahmoud_trezeguet__egy,Mahmoud Trezeguet,EGY,MID,3000000,yes,missing_or_weak_round_context,0.8438,0.9535,0.6714,medium_risk,1.2443,0.0652,0.1339,0.1413,"Reel eller delvis datamangel: aggregate/modelscore findes, men rundekonteksten er svag eller ikke i samme skala.",Audit round EV og fixturefordeling foer eventuel modelkalibrering.
jurri_n_timber__ned,Jurrien Timber,NED,DEF,2500000,yes,missing_or_weak_round_context,0.6333,0.7364,0.6,high_risk,2.0551,0.6471,0.7492,0.7347,"Reel eller delvis datamangel: aggregate/modelscore findes, men rundekonteksten er svag eller ikke i samme skala.",Audit round EV og fixturefordeling foer eventuel modelkalibrering.
wesley_franca__bra,Wesley Franca,BRA,DEF,3500000,yes,missing_or_weak_round_context,0.6273,0.7143,0.6522,medium_risk,2.7262,0.769,0.948,0.6928,"Reel eller delvis datamangel: aggregate/modelscore findes, men rundekonteksten er svag eller ikke i samme skala.",Audit round EV og fixturefordeling foer eventuel modelkalibrering.
ismael_saibari__mar,Ismael Saibari,MAR,MID,3500000,yes,availability_risk,0.6357,0.7381,0.6039,high_risk,2.3978,0.2945,0.6685,1.054,"Reel spillerusikkerhed: availability/injury-risk er selve problemet, ikke primaert scoremodellen.",Afvent lineup/skadenyt eller hold spilleren paa manuel tjekliste.
raphinha__bra,Raphinha,BRA,FWD,6500000,yes,missing_or_weak_round_context,0.7752,0.8774,0.6672,medium_risk,2.2639,0.2041,0.1625,0.119,"Reel eller delvis datamangel: aggregate/modelscore findes, men rundekonteksten er svag eller ikke i samme skala.",Audit round EV og fixturefordeling foer eventuel modelkalibrering.
gregor_kobel__sui,Gregor Kobel,SUI,GK,4000000,yes,missing_or_weak_round_context,0.5754,0.5754,0.7007,medium_risk,2.5784,1.0396,0.821,0.6161,"Reel eller delvis datamangel: aggregate/modelscore findes, men rundekonteksten er svag eller ikke i samme skala.",Audit round EV og fixturefordeling foer eventuel modelkalibrering.
ismaila_sarr__sen,Ismaila Sarr,SEN,MID,3500000,yes,missing_or_weak_round_context,0.6015,0.6526,0.768,medium_risk,1.8751,0.1586,0.2718,0.6361,"Reel eller delvis datamangel: aggregate/modelscore findes, men rundekonteksten er svag eller ikke i samme skala.",Audit round EV og fixturefordeling foer eventuel modelkalibrering.
