player_id,player_name,team_id,position,price,start_prob,has_valid_fixtures,has_team_match_context,has_player_component_source,has_backup_aggregate_ev,root_cause,recommended_repair_method,repair_confidence,historical_recovery_status,ev_match_method,current_component_source,current_base_ev_source,current_repair_status,current_weighted_group_stage_ev,max_backup_component_sum,max_backup_aggregate_ev,repair_class,fantasy_relevance_score
neymar_jr__bra,Neymar Jr.,BRA,FWD,5500000,0.8919,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,2.168028,0.0,0.0,new_general_ev_method,0.869193
lucas_paqueta__bra,Lucas Paqueta,BRA,MID,5500000,0.7869,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.750235,0.0,0.0,new_general_ev_method,0.799843
romelu_lukaku__bel,Romelu Lukaku,BEL,FWD,4500000,0.7965,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.971824,0.0,0.0,new_general_ev_method,0.764355
manuel_neuer__ger,Manuel Neuer,GER,GK,5000000,0.8454,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,3.258434,0.0,0.0,new_general_ev_method,0.737338
mateo_kovacic__cro,Mateo Kovacic,CRO,MID,4000000,0.839,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.582332,0.0,0.0,new_general_ev_method,0.73433
bruno_guimaraes__bra,Bruno Guimaraes,BRA,MID,4500000,0.7749,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.675369,0.0,0.0,new_general_ev_method,0.734203
victor_munoz__esp,Victor Munoz,ESP,FWD,3000000,0.873,yes,yes,no,no,missing_from_ev_master_at_holdet_rebase,"verify canonical identity against the pre-rebase source, then generate EV with the new general player-EV method",high,no_prior_nonzero_ev,unmatched,complete_components,component_weighted_sum,component_base_rebuilt,1.433705,0.0,0.0,manual_identity_then_general_method,0.71031
bradley_barcola__fra,Bradley Barcola,FRA,MID,4000000,0.7583,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.625756,0.0,0.0,new_general_ev_method,0.696401
joan_garcia__esp,Joan Garcia,ESP,GK,4000000,0.8655,yes,yes,no,no,missing_from_ev_master_at_holdet_rebase,"verify canonical identity against the pre-rebase source, then generate EV with the new general player-EV method",high,no_prior_nonzero_ev,unmatched,complete_components,component_weighted_sum,component_base_rebuilt,1.534122,0.0,0.0,manual_identity_then_general_method,0.686785
ben_doak__sco,Ben Doak,SCO,MID,3000000,0.8529,yes,yes,no,no,ev_master_row_missing_player_stat_allocation,generate player shares/rates from a new general position-and-usage EV method; do not infer them from team context alone,high,no_prior_nonzero_ev,name_team_position,complete_components,component_weighted_sum,component_base_rebuilt,1.318594,0.0,0.0,new_general_ev_method,0.680863
